Ax,Ay,Az,Gx,Gy,Gz,Label
-0.006,-0.020,1.032,0.472,-2.651,0.131,Idle
-0.005,-0.018,1.032,0.420,-2.608,0.123,Idle
-0.003,-0.017,1.030,0.420,-2.608,0.123,Idle
-0.005,-0.019,1.030,0.464,-2.651,0.149,Idle
-0.006,-0.019,1.031,0.411,-2.608,0.096,Idle
-0.005,-0.018,1.031,0.438,-2.590,0.184,Idle
-0.005,-0.019,1.031,0.429,-2.590,0.123,Idle
-0.006,-0.019,1.032,0.438,-2.634,0.114,Idle
-0.004,-0.019,1.031,0.429,-2.608,0.157,Idle
-0.004,-0.019,1.032,0.411,-2.616,0.149,Idle
-0.005,-0.019,1.033,0.464,-2.616,0.123,Idle
-0.005,-0.019,1.032,0.420,-2.608,0.140,Idle
-0.004,-0.019,1.032,0.429,-2.608,0.123,Idle
-0.005,-0.019,1.032,0.376,-2.599,0.140,Idle
-0.005,-0.020,1.032,0.403,-2.634,0.140,Idle
-0.005,-0.019,1.032,0.464,-2.590,0.131,Idle
-0.005,-0.020,1.033,0.385,-2.616,0.123,Idle
-0.005,-0.019,1.032,0.446,-2.608,0.114,Idle
-0.005,-0.020,1.032,0.420,-2.616,0.114,Idle
-0.004,-0.018,1.032,0.420,-2.625,0.105,Idle
-0.005,-0.019,1.032,0.438,-2.608,0.123,Idle
-0.005,-0.019,1.032,0.394,-2.599,0.123,Idle
-0.005,-0.019,1.033,0.429,-2.651,0.096,Idle
-0.004,-0.019,1.032,0.420,-2.599,0.114,Idle
-0.006,-0.019,1.033,0.411,-2.599,0.140,Idle
-0.005,-0.020,1.033,0.429,-2.651,0.149,Idle
-0.005,-0.019,1.032,0.403,-2.581,0.192,Idle
-0.004,-0.018,1.032,0.403,-2.608,0.131,Idle
-0.006,-0.019,1.032,0.455,-2.669,0.114,Idle
-0.005,-0.019,1.032,0.429,-2.616,0.166,Idle
-0.004,-0.019,1.031,0.438,-2.669,0.123,Idle
-0.005,-0.018,1.032,0.403,-2.642,0.131,Idle
-0.005,-0.020,1.033,0.394,-2.616,0.105,Idle
-0.005,-0.019,1.032,0.403,-2.616,0.166,Idle
-0.005,-0.019,1.032,0.472,-2.625,0.123,Idle
-0.005,-0.018,1.032,0.411,-2.572,0.149,Idle
-0.005,-0.018,1.033,0.429,-2.590,0.105,Idle
-0.005,-0.020,1.032,0.420,-2.608,0.123,Idle
-0.005,-0.020,1.032,0.455,-2.616,0.157,Idle
-0.005,-0.019,1.032,0.403,-2.634,0.149,Idle
-0.005,-0.020,1.032,0.411,-2.642,0.149,Idle
-0.005,-0.018,1.033,0.385,-2.608,0.114,Idle
-0.006,-0.019,1.032,0.376,-2.590,0.131,Idle
-0.005,-0.018,1.032,0.464,-2.608,0.114,Idle
-0.005,-0.020,1.031,0.420,-2.608,0.131,Idle
-0.005,-0.019,1.032,0.403,-2.642,0.157,Idle
-0.005,-0.019,1.032,0.446,-2.660,0.131,Idle
-0.005,-0.019,1.034,0.394,-2.625,0.131,Idle
-0.006,-0.018,1.032,0.411,-2.599,0.149,Idle
-0.004,-0.019,1.033,0.464,-2.625,0.114,Idle
-0.005,-0.019,1.032,0.376,-2.634,0.105,Idle
-0.005,-0.019,1.033,0.429,-2.581,0.140,Idle
