Ax,Ay,Az,Gx,Gy,Gz,Label
-0.026,-0.022,0.989,-2.992,-0.191,-0.832,Idle
-0.027,-0.022,0.989,-3.107,-0.198,-0.794,Idle
-0.029,-0.024,0.983,-2.985,-0.183,-0.679,Idle
-0.026,-0.022,0.997,-2.855,-0.031,-0.740,Idle
-0.025,-0.023,0.994,-3.061,0.061,-0.695,Idle
-0.025,-0.024,0.990,-2.695,-0.092,-0.618,Idle
-0.024,-0.028,0.989,-2.977,-0.015,-0.641,Idle
-0.024,-0.019,0.987,-2.947,0.023,-0.908,Idle
-0.030,-0.028,0.989,-2.794,0.145,-0.641,Idle
-0.025,-0.024,0.985,-3.107,0.076,-0.786,Idle
-0.023,-0.027,0.993,-2.542,-0.061,-0.695,Idle
-0.026,-0.022,0.988,-3.015,-0.145,-0.931,Idle
-0.024,-0.023,0.990,-2.893,-0.237,-0.779,Idle
-0.030,-0.021,0.984,-2.824,0.092,-0.695,Idle
-0.027,-0.025,0.990,-2.969,-0.122,-0.511,Idle
-0.029,-0.022,0.993,-3.069,-0.153,-0.534,Idle
-0.025,-0.021,0.989,-2.977,0.023,-0.687,Idle
-0.029,-0.024,0.994,-2.695,0.137,-0.687,Idle
-0.025,-0.021,0.990,-2.763,0.008,-0.710,Idle
-0.029,-0.018,0.995,-2.992,-0.130,-0.702,Idle
-0.027,-0.025,1.001,-2.863,-0.046,-0.695,Idle
-0.029,-0.023,0.993,-2.916,0.069,-0.901,Idle
-0.028,-0.020,1.001,-2.802,-0.290,-0.626,Idle
-0.024,-0.025,0.990,-2.947,-0.092,-0.695,Idle
-0.026,-0.022,0.987,-2.969,0.191,-0.588,Idle
-0.027,-0.022,0.992,-2.901,-0.176,-0.702,Idle
-0.023,-0.024,0.996,-2.832,0.107,-0.649,Idle
-0.030,-0.023,0.993,-2.885,-0.038,-0.763,Idle
-0.026,-0.023,0.988,-2.763,-0.053,-0.718,Idle
-0.025,-0.025,0.985,-2.794,0.092,-0.763,Idle
-0.022,-0.022,0.990,-2.992,-0.130,-0.672,Idle
-0.026,-0.022,0.994,-2.740,0.176,-0.786,Idle
-0.028,-0.024,0.991,-2.687,0.252,-0.565,Idle
-0.027,-0.028,0.999,-2.656,0.252,-0.748,Idle
-0.028,-0.021,0.986,-2.885,-0.298,-0.779,Idle
-0.025,-0.027,0.992,-2.924,-0.053,-0.649,Idle
-0.024,-0.024,0.989,-2.840,-0.023,-0.679,Idle
-0.026,-0.022,0.986,-2.847,0.008,-0.802,Idle
-0.026,-0.019,0.990,-2.916,-0.229,-0.855,Idle
-0.024,-0.023,0.990,-2.824,-0.053,-0.557,Idle
-0.025,-0.023,0.994,-2.855,0.115,-0.893,Idle
